no biexciton exciton
0 9743.07251 29589.64563
1 9472.63731 27852.51756
2 7399.04895 21538.20876
3 6804.75158 17502.35052
4 6264.12277 14087.9045
5 4434.9295 9373.97072
6 3657.70003 9010.32014
7 3596.25039 9829.8566
8 2962.74708 12955.60164
